problem,num_obj,iteration,num_gens,reference_point,preferred_ranges,iRVEA_RP_R_IGD,iRVEA_Ranges_R_IGD,iRVEA_RP_R_HV,iRVEA_Ranges_R_HV,iRVEA_RP_N_Ss,iRVEA_Ranges_N_Ss,iRVEA_RP_FEs,iRVEA_Ranges_FEs
DTLZ1,3,1,100,[0.14168918 1.17305338 1.05515756],"[[0.         1.30687749]
 [1.17305338 1.17305338]
 [1.05515756 1.05515756]]",0.6953492632138002,0.7466039239750355,8.849989002725728,8.44472387938876,11,1,24744,29640
DTLZ1,3,2,100,[0.         0.91792959 1.05515756],"[[0.         0.4143961 ]
 [0.50353349 1.17305338]
 [1.05515756 1.05515756]]",0.6529325070755417,0.662904510093922,8.87971412264723,8.771309286682667,48,0,30288,31218
DTLZ1,3,3,100,[0.         0.55512904 0.00081606],"[[0.         0.00383945]
 [0.5512896  0.55896849]
 [0.         0.0046555 ]]",0.5518862127765758,0.5814451316348136,8.084993148497201,7.8012292202447275,78,1,26028,2124
DTLZ1,3,4,100,[0.21647032 0.0440393  0.32470548],"[[0.20925493 0.22368571]
 [0.03682391 0.05125469]
 [0.31749009 0.33192087]]",0.6292360104381716,0.6376854897338279,8.778626667056795,8.34578166795908,90,1,25332,3624
DTLZ1,3,5,100,[0.         0.17883078 0.24074426],"[[0.         0.        ]
 [0.14181586 0.2158457 ]
 [0.20372934 0.27775917]]",0.6479561634068524,0.6355681662005025,8.559809990316552,8.697069140608846,106,1,22752,31836
DTLZ1,3,6,100,[0.         0.16293153 0.2231234 ],"[[0.         0.        ]
 [0.13094462 0.19491844]
 [0.19113649 0.25511031]]",0.6438229072356332,0.6326535807440382,8.580224466970314,8.708405544397117,107,1,32346,36984
DTLZ1,3,7,100,[0.         0.15983432 0.21941057],"[[0.         0.        ]
 [0.12598146 0.19368718]
 [0.18555771 0.25326343]]",0.6435891142324875,0.6319621387847607,8.567769899247285,8.696231413575768,107,4,32400,38646
DTLZ2,3,1,100,[2.25131448e-17 0.00000000e+00 1.00745339e+00],"[[0.00000000e+00 7.99470857e-17]
 [0.00000000e+00 5.74339409e-17]
 [1.00745339e+00 1.00745339e+00]]",0.009220976798918291,0.0804079694096973,8.080019026755664,8.0,64,9,25308,2634
DTLZ2,3,2,100,[0.55653427 0.         0.8348014 ],"[[0.38314293 0.7299256 ]
 [0.         0.17339134]
 [0.66141006 1.00819273]]",0.005893541559938413,0.017638841812966568,8.777346820480943,8.897560772067871,79,67,25458,29388
DTLZ2,3,3,100,[0.98666025 0.         0.24666506],"[[0.91157472 1.06174577]
 [0.         0.07508553]
 [0.17157953 0.32175059]]",0.06567135530320124,0.0500380758800012,8.30424310656443,8.359844864129176,56,20,21492,6072
DTLZ2,3,4,100,[1.00062322 0.         0.        ],"[[1.00062322 1.00062322]
 [0.         0.        ]
 [0.         0.        ]]",0.008793132662749774,0.08040796940969733,8.079509090904455,8.0,55,4,30288,1512
DTLZ2,3,5,100,[0.54899481 0.         0.82660704],"[[0.54276514 0.55522447]
 [0.         0.        ]
 [0.82037738 0.83283671]]",0.28618100215060427,0.28618100215060427,6.158826447117831,6.158826447117831,2,2,1512,1200
DTLZ2,3,6,100,[0.54899481 0.         0.82660704],"[[0.54276514 0.55522447]
 [0.         0.        ]
 [0.82037738 0.83283671]]",0.28618100215060427,0.28618100215060427,6.158826447117831,6.158826447117831,2,0,1200,1200
DTLZ2,3,7,100,[0.54899481 0.         0.82660704],"[[0.54276514 0.55522447]
 [0.         0.        ]
 [0.82037738 0.83283671]]",0.03361510334277071,0.28618100215060427,8.337813092012663,6.158826447117831,17,0,1932,1200
DTLZ3,3,1,100,[1.01668622 1.06648749 1.24270031],"[[0.         1.01668622]
 [1.06648749 1.06648749]
 [1.24270031 1.24270031]]",0.00830612307433703,0.08407568823220353,9.222807945590807,8.564222612504723,8,1,30372,31554
DTLZ3,3,2,100,[4.32288180e-16 1.06648749e+00 1.24270031e+00],"[[0.         1.01668622]
 [1.06648749 1.06648749]
 [1.24270031 1.24270031]]",0.012013771986834062,0.08926167426137792,8.820278396677049,8.051695569120252,12,2,27318,34050
DTLZ3,3,3,100,[1.45777059e-16 6.74733319e-16 1.24270031e+00],"[[0.00000000e+00 5.63868876e-16]
 [2.56641503e-16 1.09282514e-15]
 [1.24270031e+00 1.24270031e+00]]",0.0074305084029663545,0.08040796940969719,8.07869093991609,7.999999999999999,21,1,22260,2082
DTLZ3,3,4,100,[2.12823572e-18 1.06648749e+00 1.24270031e+00],"[[0.         0.28755858]
 [1.06648749 1.06648749]
 [1.24270031 1.24270031]]",0.43550263991016525,0.08907945120592832,5.441183873203742,8.055727996340886,2,1,1512,25680
DTLZ3,3,5,100,[0.         0.48621712 1.24270031],"[[0.00000000e+00 1.73472348e-18]
 [4.70983835e-01 5.01450407e-01]
 [1.24270031e+00 1.24270031e+00]]",0.008907816852613402,0.04066092833025208,8.300249909218339,8.054587043108125,11,1,15534,15996
DTLZ3,3,6,100,[0.         0.18024462 0.94611518],"[[0.         0.        ]
 [0.10519906 0.25529019]
 [0.87106962 1.02116074]]",0.03203756475891498,0.04975208332465342,8.230749937514657,8.399903146647361,57,0,30372,29328
DTLZ3,3,7,100,[0.         0.23143763 0.97657821],"[[0.00000000e+00 3.46944695e-18]
 [2.14495073e-01 2.48380191e-01]
 [9.59635647e-01 9.93520766e-01]]",0.05427271445114941,0.08448800737530357,8.216204001813516,8.08741893702584,76,0,31788,36348
DTLZ4,3,1,100,[8.44792226e-01 5.63194817e-01 8.93731821e-96],"[[0.64936533 1.04021912]
 [0.36776792 0.75862171]
 [0.         0.19542689]]",0.005875848667077198,0.041142551217780814,8.778035555748225,8.801090476059876,88,65,28680,26748
DTLZ4,3,2,100,[3.78910926e-33 1.00177065e+00 8.93731821e-96],"[[0.00000000e+00 5.55622550e-05]
 [1.00171509e+00 1.00182621e+00]
 [0.00000000e+00 5.55622550e-05]]",0.02322162602868081,0.08036169192387745,7.946258557819805,8.00000001123458,52,3,27990,19506
DTLZ4,3,3,100,[9.81855394e-01 2.45463849e-01 8.93731821e-96],"[[0.82143828 1.14227251]
 [0.08504673 0.40588096]
 [0.         0.16041711]]",0.06543612230433332,0.015934567843680227,8.323685839631525,8.704913578337917,79,32,27186,21000
DTLZ4,3,4,100,[9.76913073e-01 3.01555790e-17 2.44228268e-01],"[[0.83031616 1.12350998]
 [0.         0.14659691]
 [0.09763136 0.39082518]]",0.06525180826172843,0.036733355065912424,8.322423209672428,8.468656023442033,71,52,29280,30444
DTLZ4,3,5,100,[0.82696962 0.5492333  0.        ],"[[0.82073028 0.83320896]
 [0.54299396 0.55547264]
 [0.         0.        ]]",0.006304057369533097,0.02591564073949327,8.621526888902551,8.046683554830125,54,26,25386,23988
DTLZ4,3,6,100,[0.83143067 0.55394303 0.        ],"[[0.83039841 0.83246294]
 [0.55291076 0.55497529]
 [0.         0.        ]]",0.005882228052864806,0.03127126778125942,8.622205670059483,8.007314015421992,74,9,32400,34680
DTLZ4,3,7,100,[0.83205257 0.55457115 0.        ],"[[0.83166088 0.83244426]
 [0.55417946 0.55496284]
 [0.         0.        ]]",0.005924133195898499,0.031862679512778706,8.620579297541907,8.002395422622225,78,12,32400,37860
DTLZ1,4,1,100,[0.90043238 0.5083936  1.14547993 1.35763727],"[[0.07201891 1.00279541]
 [0.         1.08420986]
 [1.14547993 1.14547993]
 [1.35763727 1.35763727]]",0.7322477341861892,0.7228442250762852,,,2,29,42944,44160
DTLZ1,4,2,100,[0.06449544 0.28686221 1.14547993 0.27319029],"[[0.         0.25848664]
 [0.09287101 0.48085342]
 [1.14547993 1.14547993]
 [0.07919909 0.4671815 ]]",0.6806894392112999,0.684469096093546,,,39,25,40552,45824
DTLZ1,4,3,100,[0.00614584 0.28977285 0.42491671 0.83731171],"[[0.         0.09512015]
 [0.20079854 0.37874716]
 [0.3359424  0.51389102]
 [0.7483374  0.92628602]]",0.6308320462400808,0.6281613596773754,,,94,4,31368,46552
DTLZ1,4,4,100,[0.         0.70184013 0.23119267 0.00654442],"[[0.         0.10679494]
 [0.59504519 0.80863508]
 [0.12439773 0.33798762]
 [0.         0.11333937]]",0.7563949703771647,0.7692761672459288,,,110,122,41744,41576
DTLZ1,4,5,100,[0.         0.0589127  0.05704911 0.22356279],"[[0.         0.        ]
 [0.01661796 0.10120743]
 [0.01475437 0.09934385]
 [0.18126805 0.26585753]]",0.5918660734034525,0.5790515427073226,,,116,140,38400,46784
DTLZ1,4,6,100,[0.         0.0744997  0.07263612 0.2391498 ],"[[0.         0.        ]
 [0.04779197 0.10120743]
 [0.04592838 0.09934385]
 [0.21244207 0.26585753]]",0.6080311272329864,0.5911263628428701,,,122,144,49032,57640
DTLZ1,4,7,100,[0.         0.06224784 0.05927085 0.22618853],"[[0.         0.        ]
 [0.0294288  0.09506687]
 [0.02645181 0.09208989]
 [0.1933695  0.25900757]]",0.5933493871526379,0.5775967774941526,,,123,150,49336,59032
DTLZ2,4,1,100,[6.70705193e-18 0.00000000e+00 9.91565568e-01 2.47891392e-01],"[[0.         0.05998439]
 [0.         0.05998439]
 [0.93158118 1.0201142 ]
 [0.187907   0.30787578]]",0.08646890994835606,0.08946733804340691,,,98,36,39928,31848
DTLZ2,4,2,100,[0.24296553 0.97186211 0.         0.        ],"[[0.17055568 0.31537537]
 [0.89945227 1.04427195]
 [0.         0.07240984]
 [0.         0.07240984]]",0.08577722756405985,0.07744187955226141,,,94,68,37320,44400
DTLZ2,4,3,100,[0.93110923 0.         0.31036974 0.31036974],"[[0.8922389  0.96997955]
 [0.         0.03887033]
 [0.27149942 0.34924007]
 [0.27149942 0.34924007]]",0.06608281480583518,0.2537791169998898,,,110,4,32080,2112
DTLZ2,4,4,100,[1.87913975e-33 9.26156095e-01 3.08718698e-01 3.08718698e-01],"[[0.         0.21323548]
 [0.71292062 1.08703094]
 [0.09548322 0.52195418]
 [0.09548322 0.52195418]]",0.06529469366915333,0.08664843933033038,,,102,116,22208,30336
DTLZ2,4,5,100,[0.35055996 0.73025534 0.35055996 0.35055996],"[[0.32142454 0.37969538]
 [0.70111992 0.75939076]
 [0.32142454 0.37969538]
 [0.32142454 0.37969538]]",0.3034933083951364,0.340783938245751,,,114,76,44904,29632
DTLZ2,4,6,100,[0.36964347 0.74799124 0.36964347 0.36964347],"[[0.36093916 0.37834777]
 [0.73928694 0.75669555]
 [0.36093916 0.37834777]
 [0.36093916 0.37834777]]",0.3058750453460203,0.3744437520904771,,,110,51,49600,54328
DTLZ2,4,7,100,[0.3732122  0.75140527 0.3732122  0.3732122 ],"[[0.36823133 0.37819307]
 [0.7464244  0.75638613]
 [0.36823133 0.37819307]
 [0.36823133 0.37819307]]",0.405198737229168,0.3773736129155017,,,96,28,49600,58880
DTLZ3,4,1,100,[0.06885145 0.09857718 0.00315808 1.16760369],"[[0.06885145 0.06885145]
 [0.09857718 0.09857718]
 [0.00315808 0.00315808]
 [1.16760369 1.16760369]]",0.05849593533697228,0.9165532975714636,,,47,1,39408,2080
DTLZ3,4,2,100,[3.03939150e-01 2.20757137e-04 3.03879835e-01 1.02806271e+00],"[[0.10347569 0.50440261]
 [0.         0.20068421]
 [0.10341638 0.50434329]
 [0.82759925 1.16760369]]",0.015513440542674208,0.04784564016483643,,,93,1,41464,23144
DTLZ3,4,3,100,[4.65833294e-17 2.94940964e-01 0.00000000e+00 1.16760369e+00],"[[0.         0.11372099]
 [0.18121997 0.40866195]
 [0.         0.11372099]
 [1.06604287 1.16760369]]",0.08764433323122679,0.11935075582853581,,,108,3,42160,41792
DTLZ3,4,4,100,[1.30570698e-17 0.00000000e+00 1.00074655e+00 2.50186638e-01],"[[0.         0.07976586]
 [0.         0.07976586]
 [0.92098069 1.02142926]
 [0.17042078 0.3299525 ]]",0.0858702156683368,0.07068413981983036,,,80,2,40208,4192
DTLZ3,4,5,100,[0.25815672 0.         0.25815672 0.87410544],"[[0.20833907 0.30797436]
 [0.         0.        ]
 [0.20833907 0.30797436]
 [0.8242878  0.92392308]]",0.019824443208479047,0.18778706294588526,,,93,5,27968,1680
DTLZ3,4,6,100,[0.26619649 0.         0.26619649 0.87086336],"[[0.23005954 0.30233344]
 [0.         0.        ]
 [0.23005954 0.30233344]
 [0.83472641 0.90700031]]",0.040139017793902276,0.20555091422375302,,,122,4,49528,1600
DTLZ3,4,7,100,[0.26777529 0.         0.26777529 0.87102398],"[[0.23392624 0.30162434]
 [0.         0.        ]
 [0.23392624 0.30162434]
 [0.83717493 0.90487302]]",0.032831721814854754,0.20858856259273312,,,119,3,49600,1600
DTLZ4,4,1,100,[4.02590874e-017 6.15257271e-133 3.81085413e-130 1.01883009e+000],"[[0.00000000e+00 8.79155441e-17]
 [0.00000000e+00 4.76564567e-17]
 [0.00000000e+00 4.76564567e-17]
 [1.01883009e+00 1.01883009e+00]]",0.008777259835653504,0.09900130084067428,,,79,13,45352,4896
DTLZ4,4,2,100,[5.60729418e-001 6.15257271e-133 1.58557246e-205 8.41094830e-001],"[[0.35765664 0.76380219]
 [0.         0.20307278]
 [0.         0.20307278]
 [0.63802206 1.04416761]]",0.03133505204320187,0.07423977677553785,,,112,103,43120,46872
DTLZ4,4,3,100,[8.34968723e-001 6.15257271e-133 1.58557246e-205 5.56646519e-001],"[[0.60550973 1.05861714]
 [0.         0.229459  ]
 [0.         0.229459  ]
 [0.32718752 0.78610552]]",0.03166213088389266,0.06707855627119967,,,110,109,43456,48024
DTLZ4,4,4,100,[9.18239496e-034 1.00172705e+000 1.58557246e-205 1.91145854e-007],"[[0.00000000e+00 7.25022997e-04]
 [1.00100203e+00 1.00245207e+00]
 [0.00000000e+00 7.25022997e-04]
 [0.00000000e+00 7.25214143e-04]]",0.00821467511114221,0.09828055196236206,,,85,5,42784,40184
DTLZ4,4,5,100,[0.54357216 0.         0.         0.82124795],"[[0.53179274 0.55535158]
 [0.         0.        ]
 [0.         0.        ]
 [0.80946853 0.83302737]]",0.029485981521361615,0.02040175827008533,,,80,34,33536,34416
DTLZ4,4,6,100,[0.55035984 0.         0.         0.82779473],"[[0.5458499  0.55486978]
 [0.         0.        ]
 [0.         0.        ]
 [0.82328479 0.83230467]]",0.03070633194628566,0.028299038419788255,,,102,41,49600,57168
DTLZ4,4,7,100,[0.55317734 0.         0.         0.83055369],"[[0.55160198 0.5547527 ]
 [0.         0.        ]
 [0.         0.        ]
 [0.82897833 0.83212906]]",0.031224824244862535,0.030660367793740862,,,101,34,49600,58144
DTLZ1,5,1,100,[0.37836991 1.16589509 1.11872384 1.03214253 0.38036502],"[[0.         1.03705531]
 [0.78321345 1.16589509]
 [0.68135006 1.11872384]
 [1.03214253 1.03214253]
 [0.         1.02227287]]",0.8128308948067238,0.8044764673823636,,,51,10,64010,61690
